"Dataset","Threshold","NetBenefit_Model","NetBenefit_All","NetBenefit_None"
"GSE10143-HCC",0.19,-0.0742344075677409,-0.0742344075677409,0
"GSE10143-HCC",0.2,-0.0876623376623377,-0.0876623376623377,0
"GSE10143-HCC",0.21,-0.101430215354266,-0.101430215354266,0
"GSE10143-HCC",0.22,-0.115551115551116,-0.115551115551116,0
"GSE10143-HCC",0.23,-0.130038792376455,-0.130038792376455,0
"GSE10143-HCC",0.24,-0.144907723855092,-0.144907723855092,0
"GSE10143-HCC",0.25,-0.16017316017316,-0.16017316017316,0
"GSE10143-HCC",0.26,-0.175851175851176,-0.175851175851176,0
"GSE10143-HCC",0.27,-0.191958726205302,-0.191958726205302,0
"GSE10143-HCC",0.28,-0.208513708513709,-0.208513708513709,0
"GSE10143-HCC",0.29,-0.22553502835193,-0.22553502835193,0
"GSE10143-HCC",0.3,-0.23747680890538,-0.2430426716141,0
"GSE10143-HCC",0.31,-0.255223037831734,-0.261057782796913,0
"GSE10143-HCC",0.32,-0.267379679144385,-0.279602750190986,0
"GSE10143-HCC",0.33,-0.285908121729017,-0.298701298701299,0
"GSE10143-HCC",0.34,-0.30499803227076,-0.318378591105864,0
"GSE10143-HCC",0.35,-0.324675324675325,-0.338661338661339,0
"GSE10143-HCC",0.36,-0.344967532467533,-0.359577922077922,0
"GSE10143-HCC",0.37,-0.365903937332509,-0.381158524015667,0
"GSE10143-HCC",0.38,-0.387515710096355,-0.403435274403016,0
"GSE10143-HCC",0.39,-0.40983606557377,-0.426442410048967,0
"GSE10143-HCC",0.4,-0.432900432900433,-0.45021645021645,0
"GSE10143-HCC",0.41,-0.456746643187321,-0.474796390050627,0
"GSE10143-HCC",0.42,-0.48141513658755,-0.500223914017017,0
"GSE10143-HCC",0.43,-0.506949191159717,-0.52654363180679,0
"GSE10143-HCC",0.44,-0.523191094619666,-0.553803339517625,0
"GSE10143-HCC",0.45,-0.539551357733176,-0.582054309327037,0
"GSE10143-HCC",0.46,-0.567099567099567,-0.611351611351611,0
"GSE10143-HCC",0.47,-0.584170546434697,-0.641754471943151,0
"GSE10143-HCC",0.48,-0.589410589410589,-0.673326673326673,0
"GSE10143-HCC",0.49,-0.618792971734148,-0.706137000254647,0
"GSE10143-HCC",0.5,-0.623376623376623,-0.74025974025974,0
"GSE10143-HCC",0.51,-0.599522926053538,-0.775775245163,0
"GSE10143-HCC",0.52,-0.600649350649351,-0.812770562770563,0
"GSE10143-HCC",0.53,-0.615363360044211,-0.85134014921249,0
"GSE10143-HCC",0.54,-0.645398080180689,-0.89158667419537,0
"GSE10143-HCC",0.55,-0.660894660894661,-0.933621933621934,0
"GSE10143-HCC",0.56,-0.64344746162928,-0.977567886658796,0
"GSE10143-HCC",0.57,-0.688009664753851,-1.02355783751133,0
"GSE10143-HCC",0.58,-0.667285095856525,-1.0717377860235,0
"GSE10143-HCC",0.59,-0.662337662337662,-1.12226797592651,0
